合作者姓名,论文标题,年份,角色,关键词,是否与目标导师合著,来源及核验依据
Noah A. Smith,From Words to Corpora: Recognizing Translation,2002,一作（按作者顺序）,未公开（未获得可支持关键词提取的摘要）,否,https://aclanthology.org/people/noah-a-smith/；论文链接https://aclanthology.org/W02-1013/；访问2026-09-17；可见作者原文：“Noah A. Smith”；一作（按作者顺序）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。
Noah A. Smith,Cairo: An Alignment Visualization Tool,未公开,一作（按作者顺序）,未公开（未获得可支持关键词提取的摘要）,否,"https://aclanthology.org/people/noah-a-smith/；论文链接https://aclanthology.org/L00-1041/；访问2026-09-17；可见作者原文：“Noah A. Smith, Michael E. Jahr”；一作（按作者顺序）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
Xiachong Feng,Multimodal ArXiv: A Dataset for Improving Scientific Comprehension of Large Vision-Language Models,2024,其他作者（共同一作/通讯待核验）,分析提取：科学图表；图文数据；视觉问答；多模态；科学理解,是,"论文信息汇总.csv 序60：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://aclanthology.org/2024.acl-long.775/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第7页；版本2026-01-27。
原文摘要依据：“Large vision-language models (LVLMs) excel across diverse tasks involving concrete images from natural scenes. However, their ability to interpret abstract figures, such as geometry shapes and scienti”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Xiachong Feng,TMGBench: A Systematic Game Benchmark for Evaluating Strategic Reasoning Abilities of LLMs,2024,其他作者（共同一作/通讯待核验）,分析提取：博弈推理；心智理论；组合任务；策略；鲁棒性,是,"论文信息汇总.csv 序148：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2410.10479；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“The rapid advancement of large language models has accelerated their application in reasoning, with strategic reasoning drawing increasing attention. To evaluate the strategic reasoning capabilities o”。
；其他作者（共同一作/通讯待核验）；预印本，等级不适用。"
Xiachong Feng,Understanding the Role of LLMs in Multimodal Evaluation Benchmarks,2024,其他作者（共同一作/通讯待核验）,分析提取：多模态评测；语言先验；视觉信息；知识诊断；评价偏差,是,"论文信息汇总.csv 序149：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2024_Understanding the Role of LLMs in Multimodal Evaluation Benchmarks.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2410.12329；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“The rapid advancement of Multimodal Large Language Models (MLLMs) has been accompanied by the development of various benchmarks to evaluate their capabilities. However, the true nature of these evalua”。
；其他作者（共同一作/通讯待核验）；预印本，等级不适用。"
Xiachong Feng,A Survey on Large Language Model-Based Social Agents in Game-Theoretic Scenarios,2025,一作（按作者顺序）,分析提取：社会智能；博弈；偏好；信念；评价协议,是,"论文信息汇总.csv 序8：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_A Survey on Large Language Model-Based Social Agents in Game-Theoretic Scenarios.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2412.03920；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第3页；版本2026-01-27。
PDF发表标记：“Published in Transactions on Machine Learning Research (05/2025)”。
原文摘要依据：“Game-theoretic scenarios have become pivotal in evaluating the social intelligence of Large Language Model (LLM)-based social agents. While numerous studies have explored these agents in such settings”。
；一作（按作者顺序）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Xiachong Feng,Reasoning Does Not Necessarily Improve Role-Playing Ability,2025,一作（按作者顺序）,分析提取：角色扮演；思维链；模型评测；人格一致性；推理能力,是,"论文信息汇总.csv 序33：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_Reasoning Does Not Necessarily Improve Role-Playing Ability.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2025.findings-acl.537/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第5页；版本2026-01-27。
原文摘要依据：“The application of role-playing large language models (LLMs) is rapidly expanding in both academic and commercial domains, driving an increasing demand for high-precision role-playing models. Simultan”。
；一作（按作者顺序）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Xiachong Feng,Alleviating Hallucinations from Knowledge Misalignment in Large Language Models via Selective Abstention Learning,2025,其他作者（共同一作/通讯待核验）,分析提取：幻觉；知识错配；拒答；监督微调；不确定性,是,"论文信息汇总.csv 序35：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_Alleviating Hallucinations from Knowledge Misalignment in Large Language Models via Selective Abstention Learning.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2025.acl-long.1199/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第6页；版本2026-01-27。
PDF发表标记：“Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers), pages 24564–24579”。
原文摘要依据：“Large language models (LLMs) are known to suffer from severe hallucination issues. One of the main causes lies in the knowledge misalignment between the pre-training stage and the supervised fine-tuni”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Xiachong Feng,ScienceBoard: Evaluating Multimodal Autonomous Agents in Realistic Scientific Workflows,2026,其他作者（共同一作/通讯待核验）,分析提取：科学工作流；计算机智能体；多模态；任务评测；专业软件,是,"论文信息汇总.csv 序16：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2505.19897；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第4页；版本2026-01-27。
原文摘要依据：“Large Language Models (LLMs) have extended their impact beyond Natural Language Processing, substantially fostering the development of interdisciplinary research. Recently, various LLM-based agents ha”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Xiachong Feng,PERSONA: Dynamic and Compositional Inference-Time Personality Control via Activation Vector Algebra,2026,一作（按作者顺序）,分析提取：人格控制；激活方向；向量代数；推理阶段；动态适应,是,"论文信息汇总.csv 序18：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2026_PERSONA_ Dynamic and Compositional Inference-Time Personality Control via Activation Vector Algebra.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2602.15669；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第4页；版本2026-01-27。
PDF发表标记：“Published as a conference paper at ICLR 2026”。
原文摘要依据：“Current methods for personality control in Large Language Models rely on static prompting or expensive fine-tuning, failing to capture the dynamic and compositional nature of human traits. We introduc”。
；一作（按作者顺序）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Xiachong Feng,Proxy Compression for Language Modeling,2026,其他作者（共同一作/通讯待核验）,分析提取：字节模型；代理压缩；分词器；训练效率；表示对齐,是,"论文信息汇总.csv 序164：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2026_Proxy Compression for Language Modeling.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2602.04289；访问2026-09-17；arXiv作者顺序和摘要。
PDF发表标记：“Proceedings of the 43 International Conference on Machine               trasting it with compressed sequences often derived from that byte”。
原文摘要依据：“Modern language models are trained almost exclusively on token sequences produced by a fixed tokenizer, an external lossless compressor often over UTF-8 byte sequences, thereby coupling the model to t”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Xiachong Feng,ImplicitMemBench: Measuring Unconscious Behavioral Adaptation in Large Language Models,2026,其他作者（共同一作/通讯待核验）,分析提取：隐式记忆；行为适应；程序记忆；启动效应；条件作用,是,"论文信息汇总.csv 序169：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2026_ImplicitMemBench_ Measuring Unconscious Behavioral Adaptation in Large Language Models.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2026.acl-long.1301/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
PDF发表标记：“Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers), pages 28232–28261”。
原文摘要依据：“Existing memory benchmarks for LLM agents evaluate explicit recall of facts, yet overlook implicit memory where experience becomes automated behavior without conscious retrieval. This gap is critical:”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Xiachong Feng,Stratagem: Learning Transferable Reasoning via Trajectory-Modulated Game Self-Play,2026,共同一作,分析提取：博弈自训练；推理迁移；轨迹调节；奖励设计；跨领域,是,"论文信息汇总.csv 序170：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2026_Stratagem_ Learning Transferable Reasoning via Trajectory-Modulated Game Self-Play.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2026.acl-long.897/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
PDF发表标记：“Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers), pages 19595–19614”。
原文摘要依据：“Games offer a compelling paradigm for developing general reasoning capabilities in language models, as they naturally demand strategic planning, probabilistic inference, and adaptive decision-making. ”。
；共同一作；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Xiachong Feng,SAVOIR: Learning Social Savoir-Faire via Shapley-based Reward Attribution,2026,共同一作,分析提取：社会智能；Shapley值；信用分配；预期效用；强化学习,是,"论文信息汇总.csv 序171：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2026_SAVOIR_ Learning Social Savoir-Faire via Shapley-based Reward Attribution.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2026.findings-acl.699/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
原文摘要依据：“Social intelligence, the ability to navigate complex interpersonal interactions, presents a fundamental challenge for language agents. Training such agents via reinforcement learning requires solving ”。
；共同一作；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
