序,论文标题,年份,作者,发表载体,条目类型,论文链接,被引次数,引用统计日期,引用来源网址,抓取日期,下载状态,备注
26,Long Chain-of-Thought Fine-tuning via Understanding-to-Reasoning Transition,2025,Chenxin An；Zhihui Xie；Xiaonan Li；Ming Zhong；Shansan Gong；Lei Li；Jun Zhang；Jingjing Xu；Lingpeng Kong,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,会议,https://aclanthology.org/2025.emnlp-main.1751/,未获取,未获取,未获取,2026-09-17,未下载,"来源：CV；ACL；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序26：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://aclanthology.org/2025.emnlp-main.1751/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第5页；版本2026-01-27。
原文摘要依据：“Reasoning models have demonstrated remarkable performance on complex tasks by generating long reasoning traces prior to producing final answers. However, previous research on long-context scaling in l”。"
27,ProReason: Multi-Modal Proactive Reasoning with Decoupled Eyesight and Wisdom,2025,Jingqi Zhou；Sheng Wang；Jingwei Dong；Kai Liu；Lei Li；Jiahui Gao；Jiyue Jiang；Lingpeng Kong；Chuan Wu,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,会议,"https://aclanthology.org/2025.emnlp-main.1614/
https://arxiv.org/abs/2410.14138",未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；arXiv；ACL；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序27：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_ProReason_ Multi-Modal Proactive Reasoning with Decoupled Eyesight and Wisdom.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2025.emnlp-main.1614/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第5页；版本2026-01-27。
PDF发表标记：“Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing, pages 31662–31691”。
原文摘要依据：“Large vision-language models (LVLMs) have witnessed significant progress on visual understanding tasks. However, they often prioritize language knowledge over image information on visual reasoning tas”。"
28,QSpec: Speculative Decoding with Complementary Quantization Schemes,2025,Juntao Zhao；Wenhao Lu；Sheng Wang；Lingpeng Kong；Chuan Wu,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,会议,"https://aclanthology.org/2025.emnlp-main.240/
https://arxiv.org/abs/2410.11305",未获取,未获取,未获取,2026-09-17,未下载,"来源：CV；arXiv；ACL；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序28：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://aclanthology.org/2025.emnlp-main.240/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第5页；版本2026-01-27。
原文摘要依据：“Quantization is widely adopted to accelerate inference and reduce memory consumption in large language models (LLMs). While activation-weight joint quantization enables efficient low-precision decodin”。"
29,UNComp: Can Matrix Entropy Uncover Sparsity? — A Compressor Design from an Uncertainty-Aware Perspective,2025,Jing Xiong；Jianghan Shen；Fanghua Ye；Chaofan Tao；Zhongwei Wan；Jianqiao Lu；Xun Wu；Chuanyang Zheng；Zhijiang Guo；Min Yang；Lingpeng Kong；Ngai Wong,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,会议,"https://aclanthology.org/2025.emnlp-main.209/
https://arxiv.org/abs/2410.03090",未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；arXiv；ACL；访问2026-09-17；非Scholar全量成果。
CV标题为“UNComp: Can Information Compression Uncover Sparsity? A Compressor Design from an Uncertainty-Aware Perspective”；arXiv标题为“UNComp: Can Matrix Entropy Uncover Sparsity? -- A Compressor Design from an Uncertainty-Aware Perspective”；相同预印本编号，保留版本信息。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序29：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_UNComp_ Can Matrix Entropy Uncover Sparsity_ — A Compressor Design from an Uncertainty-Aware Perspective.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2025.emnlp-main.209/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第5页；版本2026-01-27。
PDF发表标记：“Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing, pages 4179–4199”。
原文摘要依据：“Deploying large language models (LLMs) for long-context inference remains challenging due to their substantial memory and computational demands. While techniques such as Key-Value (KV) cache compressi”。"
30,Developing and Utilizing a Large-Scale Cantonese Dataset for Multi-Tasking in Large Language Models,2025,Jiyue Jiang；Alfred Kar Yin Truong；Yanyu Chen；Qinghang Bao；Sheng Wang；Pengan Chen；Jiuming Wang；Lingpeng Kong；Yu Li；Chuan Wu,Findings of the Association for Computational Linguistics: EMNLP 2025,会议,"https://aclanthology.org/2025.findings-emnlp.102/
https://arxiv.org/abs/2503.03702",未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；arXiv；ACL；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序30：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_Developing and Utilizing a Large-Scale Cantonese Dataset for Multi-Tasking in Large Language Models.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2025.findings-emnlp.102/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第5页；版本2026-01-27。
原文摘要依据：“High-quality data resources play a crucial role in learning large language models (LLMs), particularly for low-resource languages like Cantonese. Despite having more than 85 million native speakers, C”。"
31,Recipe2Plan: Evaluating Planning Abilities of LLMs for Efficient and Feasible Multitasking with Time Constraints Between Actions,2025,Zirui Wu；Xiao Liu；Jiayi Li；Lingpeng Kong；Yansong Feng,Findings of the Association for Computational Linguistics: EMNLP 2025,会议,"https://aclanthology.org/2025.findings-emnlp.229/
https://arxiv.org/abs/2503.02238",未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；arXiv；ACL；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序31：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_Recipe2Plan_ Evaluating Planning Abilities of LLMs for Efficient and Feasible Multitasking with Time Constraints Between Actions.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2025.findings-emnlp.229/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第5页；版本2026-01-27。
原文摘要依据：“While Large Language Model-based agents have demonstrated substantial progress in task completion, existing evaluation benchmarks tend to overemphasize single-task performance, with insufficient atten”。"
32,TimeChat-Online: 80% Visual Tokens are Naturally Redundant in Streaming Videos,2025,Linli Yao；Yicheng Li；Yuancheng Wei；Lei Li；Shuhuai Ren；Yuanxin Liu；Kun Ouyang；Lean Wang；Shicheng Li；Sida Li；Lingpeng Kong；Qi Liu；Yuanxing Zhang；Xu Sun,ACMMM 2025,会议,https://arxiv.org/abs/2504.17343,未获取,未获取,未获取,2026-09-17,未下载,"来源：CV；arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序32：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2504.17343；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第5页；版本2026-01-27。
原文摘要依据：“The rapid growth of online video platforms, particularly live streaming services, has created an urgent need for real-time video understanding systems. These systems must process continuous video stre”。"
33,Reasoning Does Not Necessarily Improve Role-Playing Ability,2025,Xiachong Feng；Longxu Dou；Lingpeng Kong,Findings of the Association for Computational Linguistics: ACL 2025,会议,"https://aclanthology.org/2025.findings-acl.537/
https://arxiv.org/abs/2502.16940",未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；arXiv；ACL；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序33：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_Reasoning Does Not Necessarily Improve Role-Playing Ability.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2025.findings-acl.537/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第5页；版本2026-01-27。
原文摘要依据：“The application of role-playing large language models (LLMs) is rapidly expanding in both academic and commercial domains, driving an increasing demand for high-precision role-playing models. Simultan”。"
34,PromptCoT: Synthesizing Olympiad-level Problems for Mathematical Reasoning in Large Language Models,2025,Xueliang Zhao；Wei Wu；Jian Guan；Lingpeng Kong,Findings of the Association for Computational Linguistics: ACL 2025,会议,"https://aclanthology.org/2025.findings-acl.935/
https://arxiv.org/abs/2503.02324",未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；arXiv；ACL；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序34：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_PromptCoT_ Synthesizing Olympiad-level Problems for Mathematical Reasoning in Large Language Models.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2025.findings-acl.935/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第5页；版本2026-01-27。
原文摘要依据：“The ability of large language models to solve complex mathematical problems has progressed significantly, particularly for tasks requiring advanced reasoning. However, the scarcity of sufficiently cha”。"
35,Alleviating Hallucinations from Knowledge Misalignment in Large Language Models via Selective Abstention Learning,2025,Lei Huang；Xiaocheng Feng；Weitao Ma；Yuchun Fan；Xiachong Feng；Yuxuan Gu；Yangfan Ye；Liang Zhao；Weihong Zhong；Baoxin Wang；Dayong Wu；Guoping Hu；Lingpeng Kong；Tong Xiao；Ting Liu；Bing Qin,Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),会议,https://aclanthology.org/2025.acl-long.1199/,未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；ACL；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序35：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_Alleviating Hallucinations from Knowledge Misalignment in Large Language Models via Selective Abstention Learning.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2025.acl-long.1199/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第6页；版本2026-01-27。
PDF发表标记：“Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers), pages 24564–24579”。
原文摘要依据：“Large language models (LLMs) are known to suffer from severe hallucination issues. One of the main causes lies in the knowledge misalignment between the pre-training stage and the supervised fine-tuni”。"
36,Teaching Language Models to Critique via Reinforcement Learning,2025,Zhihui Xie；Jie chen；Liyu Chen；Weichao Mao；Jingjing Xu；Lingpeng Kong,ICML 2025,会议,https://arxiv.org/abs/2502.03492,未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序36：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_Teaching Language Models to Critique via Reinforcement Learning.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2502.03492；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第6页；版本2026-01-27。
PDF发表标记：“Proceedings of the 42 nd International Conference on Machine           ward optimal solution generation through iterative critique-”。
原文摘要依据：“Teaching large language models (LLMs) to critique and refine their outputs is crucial for building systems that can iteratively improve, yet it is fundamentally limited by the ability to provide accur”。"
37,ParallelComp: Parallel Long-Context Compressor for Length Extrapolation,2025,Jing Xiong；Jianghan Shen；Chuanyang Zheng；Zhongwei Wan；Chenyang Zhao；Chiwun Yang；Fanghua Ye；Hongxia Yang；Lingpeng Kong；Ngai Wong,ICML 2025,会议,https://arxiv.org/abs/2502.14317,未获取,未获取,未获取,2026-09-17,未下载,"来源：CV；arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序37：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2502.14317；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第6页；版本2026-01-27。
原文摘要依据：“Extrapolating ultra-long contexts (text length >128K) remains a major challenge for large language models (LLMs), as most training-free extrapolation methods are not only severely limited by memory bo”。"
